rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,complain,satisfaction_score,card_type,point_earned,payment_proxy,churn,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,revenue_at_risk,high_risk_customer_flag,active_status,credit_card_status,product_segment
4578,15703979,Evans,580,Germany,Male,39,3,119688.81,1,1,0,137041.26,0,0,4,DIAMOND,804,DIAMOND,0,31-40,3-5 years,High,High,3600.98,300.08,Very High,10802.94,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
4579,15801821,Cookson,691,France,Male,38,1,0.0,2,0,0,44653.5,0,0,1,GOLD,885,GOLD,0,31-40,0-2 years,Low,Low,905.77,75.48,Low,905.77,Bronze,0.0,1,Inactive,No Credit Card,2 product(s)
4580,15711028,Nnachetam,534,France,Male,52,1,0.0,3,1,1,104035.41,1,1,5,SILVER,278,SILVER,1,51-60,0-2 years,Low,High,1019.18,84.93,Low,1019.18,Bronze,1019.18,1,Active,Has Credit Card,3+ products
4581,15791842,Johnstone,478,France,Female,32,6,71187.24,1,1,1,110593.62,0,0,3,GOLD,248,GOLD,0,31-40,6-8 years,Medium,High,2220.71,185.06,Medium,13324.26,Gold,0.0,0,Active,Has Credit Card,1 product(s)
4582,15746127,Hort,572,France,Female,47,2,0.0,2,1,0,36099.7,0,0,4,GOLD,991,GOLD,0,41-50,0-2 years,Low,Low,916.0,76.33,Low,1832.0,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
4583,15663625,Johnson,501,France,Male,37,4,0.0,2,0,0,12470.3,0,0,4,GOLD,453,GOLD,0,31-40,3-5 years,Low,Low,528.85,44.07,Low,2115.4,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
4584,15604891,Zaytseva,624,Spain,Female,38,8,0.0,2,1,0,95403.41,0,0,5,PLATINUM,735,PLATINUM,0,31-40,6-8 years,Low,Medium,1084.52,90.38,Low,8676.16,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
4585,15589666,Sorokina,595,France,Female,39,9,136422.41,1,1,1,151757.81,0,0,1,PLATINUM,379,PLATINUM,0,31-40,9-10 years,Very High,Very High,3796.74,316.4,Very High,34170.66,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
4586,15627881,Diehl,603,France,Male,30,8,0.0,2,1,1,47536.46,0,0,5,GOLD,320,GOLD,0,18-30,6-8 years,Low,Low,637.68,53.14,Low,5101.44,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4587,15664895,Onuchukwu,602,France,Female,25,0,0.0,2,1,1,101274.17,0,0,1,PLATINUM,502,PLATINUM,0,18-30,0-2 years,Low,High,997.37,83.11,Low,997.37,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
4588,15676094,Osonduagwuike,500,France,Female,34,6,0.0,1,1,1,140268.45,0,0,2,PLATINUM,523,PLATINUM,0,31-40,6-8 years,Low,High,1082.84,90.24,Low,6497.04,Silver,0.0,0,Active,Has Credit Card,1 product(s)
4589,15761720,Mead,422,France,Male,41,6,153238.88,1,1,0,11663.09,0,0,5,GOLD,741,GOLD,0,41-50,6-8 years,Very High,Low,3613.59,301.13,Very High,21681.54,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
4590,15611961,Stewart,615,France,Male,35,7,0.0,2,1,0,150784.29,0,0,1,GOLD,948,GOLD,0,31-40,6-8 years,Low,Very High,1467.92,122.33,Medium,10275.44,Gold,0.0,1,Inactive,Has Credit Card,2 product(s)
4591,15680167,Thomson,635,France,Female,78,6,47536.4,1,1,1,119400.08,0,0,4,GOLD,896,GOLD,0,61+,6-8 years,Medium,High,2115.73,176.31,Medium,12694.38,Gold,0.0,0,Active,Has Credit Card,1 product(s)
4592,15762543,Goliwe,711,France,Female,32,1,0.0,2,1,0,126188.42,0,0,4,SILVER,296,SILVER,0,31-40,0-2 years,Low,High,1018.94,84.91,Low,1018.94,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
4593,15658475,Lori,834,France,Male,36,8,142882.49,1,1,0,89983.02,1,1,3,DIAMOND,328,DIAMOND,1,31-40,6-8 years,Very High,Medium,3591.56,299.3,Very High,28732.48,Platinum,3591.56,1,Inactive,Has Credit Card,1 product(s)
4594,15779743,Onwuamaeze,633,France,Female,44,7,0.0,2,1,0,29761.29,0,0,2,SILVER,627,SILVER,0,41-50,6-8 years,Low,Low,702.31,58.53,Low,4916.17,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
4595,15661532,Butusov,650,France,Female,31,1,160566.11,2,0,0,27073.81,0,0,1,DIAMOND,404,DIAMOND,0,31-40,0-2 years,Very High,Low,3788.69,315.72,Very High,3788.69,Bronze,0.0,1,Inactive,No Credit Card,2 product(s)
4596,15782360,Rogers,743,Germany,Male,65,2,131935.51,1,1,1,96399.67,1,1,3,SILVER,399,SILVER,1,61+,0-2 years,Very High,Medium,3440.21,286.68,High,6880.42,Silver,3440.21,1,Active,Has Credit Card,1 product(s)
4597,15767908,Nicholson,567,France,Male,38,6,127678.8,2,0,0,45422.89,0,0,1,GOLD,871,GOLD,0,31-40,6-8 years,Very High,Low,3456.19,288.02,High,20737.14,Platinum,0.0,1,Inactive,No Credit Card,2 product(s)
4598,15677105,Rossi,706,Germany,Female,46,4,105214.58,1,1,0,108699.59,1,1,3,PLATINUM,635,PLATINUM,1,41-50,3-5 years,High,High,3085.29,257.11,High,12341.16,Gold,3085.29,1,Inactive,Has Credit Card,1 product(s)
4599,15641474,Hall,638,France,Male,46,9,139859.54,1,1,0,38967.29,0,0,4,GOLD,946,GOLD,0,41-50,9-10 years,Very High,Low,3585.03,298.75,Very High,32265.27,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
4600,15624451,Huddart,641,France,Female,38,3,0.0,2,1,0,116466.19,0,0,4,DIAMOND,975,DIAMOND,0,31-40,3-5 years,Low,High,1309.83,109.15,Medium,3929.49,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
4601,15577985,Chinomso,574,France,Female,34,5,112324.45,2,1,1,17993.43,0,0,4,GOLD,674,GOLD,0,31-40,3-5 years,High,Low,2913.46,242.79,High,14567.3,Gold,0.0,0,Active,Has Credit Card,2 product(s)
4602,15571666,Shaw,642,Germany,Male,30,8,134497.27,1,0,0,43250.54,0,0,3,GOLD,999,GOLD,0,18-30,6-8 years,Very High,Low,3525.7,293.81,High,28205.6,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
4603,15783691,Hargreaves,722,Spain,Female,35,1,120171.58,1,1,0,125240.8,0,0,2,SILVER,324,SILVER,0,31-40,0-2 years,High,High,3311.64,275.97,High,3311.64,Bronze,0.0,1,Inactive,Has Credit Card,1 product(s)
4604,15671172,Swain,623,France,Male,23,1,106012.2,2,0,1,191415.94,0,0,2,GOLD,919,GOLD,0,18-30,0-2 years,High,Very High,3776.82,314.74,Very High,3776.82,Bronze,0.0,0,Active,No Credit Card,2 product(s)
4605,15731760,Butcher,681,France,Male,25,5,0.0,1,0,1,90860.97,0,0,4,DIAMOND,875,DIAMOND,0,18-30,3-5 years,Low,Medium,1011.8,84.32,Low,5059.0,Silver,0.0,0,Active,No Credit Card,1 product(s)
4606,15585599,Stone,530,France,Female,34,8,0.0,2,0,1,141872.52,0,0,2,GOLD,781,GOLD,0,31-40,6-8 years,Low,High,1339.86,111.65,Medium,10718.88,Gold,0.0,0,Active,No Credit Card,2 product(s)
4607,15784958,Allan,797,France,Female,55,10,0.0,4,1,1,49418.87,1,1,1,GOLD,248,GOLD,1,51-60,9-10 years,Low,Low,851.09,70.92,Low,8510.9,Silver,851.09,1,Active,Has Credit Card,3+ products
4608,15734524,Wang,653,France,Male,51,3,0.0,1,1,0,170426.65,1,1,3,SILVER,435,SILVER,1,51-60,3-5 years,Low,Very High,1189.63,99.14,Low,3568.89,Bronze,1189.63,1,Inactive,Has Credit Card,1 product(s)
4609,15614103,Colombo,850,Germany,Male,42,8,119839.69,1,0,1,51016.02,1,1,2,GOLD,303,GOLD,1,41-50,6-8 years,High,Medium,2923.37,243.61,High,23386.96,Platinum,2923.37,1,Active,No Credit Card,1 product(s)
4610,15794895,McKay,581,Spain,Male,34,1,0.0,2,0,1,81175.25,0,0,3,SILVER,602,SILVER,0,31-40,0-2 years,Low,Medium,946.88,78.91,Low,946.88,Bronze,0.0,0,Active,No Credit Card,2 product(s)
4611,15772381,Brient,589,Germany,Male,38,8,92219.21,1,1,0,99106.97,0,0,2,PLATINUM,554,PLATINUM,0,31-40,6-8 years,Medium,Medium,2736.92,228.08,Medium,21895.36,Platinum,0.0,1,Inactive,Has Credit Card,1 product(s)
4612,15710553,Yin,555,Germany,Male,48,3,142055.41,2,0,1,79134.78,0,0,3,SILVER,263,SILVER,0,41-50,3-5 years,Very High,Medium,3608.28,300.69,Very High,10824.84,Gold,0.0,0,Active,No Credit Card,2 product(s)
4613,15649292,Bellucci,748,France,Female,49,7,29602.08,1,0,0,163550.58,1,1,4,SILVER,699,SILVER,1,41-50,6-8 years,Medium,Very High,1879.29,156.61,Medium,13155.03,Gold,1879.29,1,Inactive,No Credit Card,1 product(s)
4614,15792565,Duncan,745,France,Female,46,7,0.0,2,1,1,67769.94,0,0,4,PLATINUM,483,PLATINUM,0,41-50,6-8 years,Low,Medium,820.35,68.36,Low,5742.45,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4615,15718245,Pirozzi,730,France,Male,34,1,0.0,2,1,1,126592.01,0,0,3,DIAMOND,865,DIAMOND,0,31-40,0-2 years,Low,High,1305.46,108.79,Medium,1305.46,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
4616,15703117,Findlay,565,France,Female,44,1,0.0,2,0,1,89602.81,0,0,1,SILVER,691,SILVER,0,41-50,0-2 years,Low,Medium,1033.51,86.13,Low,1033.51,Bronze,0.0,0,Active,No Credit Card,2 product(s)
4617,15758136,King,778,France,Male,37,3,141803.77,1,0,1,179421.84,0,0,3,GOLD,397,GOLD,0,31-40,3-5 years,Very High,Very High,4051.68,337.64,Very High,12155.04,Gold,0.0,0,Active,No Credit Card,1 product(s)
4618,15799932,Iweobiegbunam,812,France,Male,24,10,0.0,2,1,1,156906.15,0,0,1,PLATINUM,658,PLATINUM,0,18-30,9-10 years,Low,Very High,1353.53,112.79,Medium,13535.3,Gold,0.0,0,Active,Has Credit Card,2 product(s)
4619,15633516,Tucker,526,France,Male,42,1,0.0,1,0,1,168486.02,0,0,1,GOLD,593,GOLD,0,41-50,0-2 years,Low,Very High,1258.93,104.91,Medium,1258.93,Bronze,0.0,0,Active,No Credit Card,1 product(s)
4620,15622532,Izmailova,708,France,Female,47,0,126589.12,2,0,1,132730.07,1,1,5,GOLD,856,GOLD,1,41-50,0-2 years,High,High,3863.43,321.95,Very High,3863.43,Bronze,3863.43,1,Active,No Credit Card,2 product(s)
4621,15798960,Meng,680,France,Male,33,2,108393.35,1,0,1,39057.67,0,0,3,GOLD,425,GOLD,0,31-40,0-2 years,High,Low,2695.66,224.64,Medium,5391.32,Silver,0.0,0,Active,No Credit Card,1 product(s)
4622,15698664,Liang,567,Spain,Male,43,2,115643.58,2,0,0,174606.35,0,0,2,DIAMOND,754,DIAMOND,0,41-50,0-2 years,High,Very High,3802.9,316.91,Very High,7605.8,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
4623,15703614,Hutchinson,564,Spain,Male,48,5,132876.23,1,1,0,79259.77,0,0,1,DIAMOND,741,DIAMOND,0,41-50,3-5 years,Very High,Medium,3544.32,295.36,High,17721.6,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
4624,15699195,Shen,709,France,Female,24,3,110949.41,1,1,1,168515.61,0,0,5,DIAMOND,234,DIAMOND,0,18-30,3-5 years,High,Very High,3298.57,274.88,High,9895.71,Gold,0.0,0,Active,Has Credit Card,1 product(s)
4625,15710543,Okwuoma,629,France,Male,46,1,130666.2,1,1,1,161125.67,1,1,1,SILVER,586,SILVER,1,41-50,0-2 years,Very High,Very High,3831.95,319.33,Very High,3831.95,Bronze,3831.95,1,Active,Has Credit Card,1 product(s)
4626,15695499,Chinwemma,510,France,Female,45,10,103821.47,2,0,1,77878.62,0,0,3,SILVER,413,SILVER,0,41-50,9-10 years,High,Medium,2912.32,242.69,High,29123.2,Platinum,0.0,0,Active,No Credit Card,2 product(s)
4627,15622321,Golubova,506,France,Female,32,3,0.0,1,1,1,80823.02,0,0,3,PLATINUM,619,PLATINUM,0,31-40,3-5 years,Low,Medium,833.62,69.47,Low,2500.86,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
4628,15715744,Schiavone,605,France,Male,39,7,0.0,1,0,1,119348.28,0,0,4,DIAMOND,307,DIAMOND,0,31-40,6-8 years,Low,High,870.24,72.52,Low,6091.68,Silver,0.0,0,Active,No Credit Card,1 product(s)
4629,15788151,Moore,650,Spain,Male,32,1,132187.73,2,1,1,178331.36,0,0,2,PLATINUM,960,PLATINUM,0,31-40,0-2 years,Very High,Very High,4255.41,354.62,Very High,4255.41,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4630,15687153,Graham,850,Germany,Male,49,8,98649.55,1,1,0,119174.88,1,1,5,PLATINUM,568,PLATINUM,1,41-50,6-8 years,High,High,2972.87,247.74,High,23782.96,Platinum,2972.87,1,Inactive,Has Credit Card,1 product(s)
4631,15684958,Amadi,489,Germany,Male,38,2,126444.08,2,1,1,82662.73,0,0,4,SILVER,526,SILVER,0,31-40,0-2 years,High,Medium,3445.2,287.1,High,6890.4,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4632,15706116,McKay,659,Germany,Female,30,8,154159.51,1,1,0,40441.1,0,0,4,DIAMOND,426,DIAMOND,0,18-30,6-8 years,Very High,Low,3618.4,301.53,Very High,28947.2,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
4633,15740557,Fedorova,753,France,Female,43,5,0.0,2,1,0,109881.71,0,0,5,SILVER,834,SILVER,0,41-50,3-5 years,Low,High,1206.41,100.53,Medium,6032.05,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
4634,15707291,Percy,477,Germany,Male,48,8,129250.0,2,1,1,157937.35,0,0,1,PLATINUM,885,PLATINUM,0,41-50,6-8 years,Very High,Very High,4057.19,338.1,Very High,32457.52,Platinum,0.0,0,Active,Has Credit Card,2 product(s)
4635,15583353,Floyd,610,Spain,Female,45,3,0.0,1,1,0,38276.84,1,1,2,DIAMOND,589,DIAMOND,1,41-50,3-5 years,Low,Low,605.88,50.49,Low,1817.64,Bronze,605.88,1,Inactive,Has Credit Card,1 product(s)
4636,15761024,Long,619,France,Female,33,2,167733.51,2,1,1,65222.48,0,0,1,SILVER,319,SILVER,0,31-40,0-2 years,Very High,Medium,4080.28,340.02,Very High,8160.56,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4637,15630709,Castiglione,619,Germany,Female,31,2,56116.3,2,0,0,2181.94,0,0,2,GOLD,972,GOLD,0,31-40,0-2 years,Medium,Low,1859.24,154.94,Medium,3718.48,Bronze,0.0,1,Inactive,No Credit Card,2 product(s)
4638,15639590,Melendez,758,France,Female,30,3,141581.08,1,1,0,156249.06,0,0,2,SILVER,797,SILVER,0,18-30,3-5 years,Very High,Very High,4131.37,344.28,Very High,12394.11,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
4639,15659399,Mazzi,516,Germany,Male,50,7,139675.07,2,1,0,45591.23,0,0,3,GOLD,794,GOLD,0,41-50,6-8 years,Very High,Low,3658.46,304.87,Very High,25609.22,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
4640,15567078,Kovaleva,789,France,Female,27,8,66201.96,1,1,1,79458.12,0,0,1,DIAMOND,332,DIAMOND,0,18-30,6-8 years,Medium,Medium,2007.33,167.28,Medium,16058.64,Gold,0.0,0,Active,Has Credit Card,1 product(s)
4641,15696373,Gill,687,France,Female,44,9,0.0,2,0,0,103042.2,1,1,4,DIAMOND,309,DIAMOND,1,41-50,9-10 years,Low,High,909.71,75.81,Low,8187.39,Silver,909.71,1,Inactive,No Credit Card,2 product(s)
4642,15786617,Arcuri,485,Germany,Male,34,3,133658.24,1,1,0,70209.83,0,0,2,SILVER,456,SILVER,0,31-40,3-5 years,Very High,Medium,3372.21,281.02,High,10116.63,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
4643,15657449,Chukwuma,446,Germany,Male,25,3,136202.78,1,1,0,176743.51,0,0,4,GOLD,610,GOLD,0,18-30,3-5 years,Very High,Very High,4032.77,336.06,Very High,12098.31,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
4644,15672594,Stevenson,597,France,Female,60,0,131778.08,1,0,0,10703.53,1,1,4,SILVER,762,SILVER,1,51-60,0-2 years,Very High,Low,3190.08,265.84,High,3190.08,Bronze,3190.08,1,Inactive,No Credit Card,1 product(s)
4645,15714240,Ponomarev,712,Spain,Male,74,5,0.0,2,0,0,151425.82,0,0,2,GOLD,942,GOLD,0,61+,3-5 years,Low,Very High,1468.13,122.34,Medium,7340.65,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
4646,15782144,Gilroy,522,France,Female,34,3,0.0,2,1,1,3894.34,0,0,1,PLATINUM,732,PLATINUM,0,31-40,3-5 years,Low,Low,625.47,52.12,Low,1876.41,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
4647,15665008,Sidorov,805,Germany,Female,26,8,42712.87,2,1,1,28861.69,0,0,4,GOLD,796,GOLD,0,18-30,6-8 years,Medium,Low,1636.57,136.38,Medium,13092.56,Gold,0.0,0,Active,Has Credit Card,2 product(s)
4648,15581733,Bates,781,France,Female,28,4,0.0,2,1,0,177703.15,0,0,4,SILVER,602,SILVER,0,18-30,3-5 years,Low,Very High,1429.52,119.13,Medium,5718.08,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
4649,15751392,Fanucci,689,Spain,Female,57,4,0.0,2,1,0,136649.8,1,1,2,GOLD,909,GOLD,1,51-60,3-5 years,Low,High,1377.75,114.81,Medium,5511.0,Silver,1377.75,1,Inactive,Has Credit Card,2 product(s)
4650,15785815,Toscano,670,Germany,Male,31,1,142631.54,2,1,1,175894.24,0,0,1,SILVER,804,SILVER,0,31-40,0-2 years,Very High,Very High,4374.1,364.51,Very High,4374.1,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4651,15664214,Hearn,670,France,Male,33,2,141204.65,2,1,0,76257.46,0,0,5,GOLD,814,GOLD,0,31-40,0-2 years,Very High,Medium,3852.38,321.03,Very High,7704.76,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
4652,15579996,Iroawuchi,524,Germany,Female,25,7,131402.21,1,0,0,193668.49,0,0,4,PLATINUM,997,PLATINUM,0,18-30,6-8 years,Very High,Very High,4214.89,351.24,Very High,29504.23,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
4653,15675252,Martin,734,Spain,Female,39,3,92636.96,2,1,1,125671.29,0,0,2,SILVER,659,SILVER,0,31-40,3-5 years,Medium,High,3050.6,254.22,High,9151.8,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4654,15579617,Sinclair,489,France,Female,51,3,0.0,2,0,1,174098.28,1,1,3,GOLD,683,GOLD,1,51-60,3-5 years,Low,Very High,1451.99,121.0,Medium,4355.97,Silver,1451.99,1,Active,No Credit Card,2 product(s)
4655,15593976,Swanson,578,Germany,Female,31,5,102088.68,4,0,0,187866.21,1,1,4,SILVER,645,SILVER,1,31-40,3-5 years,High,Very High,3783.6,315.3,Very High,18918.0,Gold,3783.6,1,Inactive,No Credit Card,3+ products
4656,15716041,Chinomso,622,Spain,Male,39,9,0.0,2,0,1,100862.36,0,0,2,PLATINUM,814,PLATINUM,0,31-40,9-10 years,Low,High,1151.31,95.94,Low,10361.79,Gold,0.0,0,Active,No Credit Card,2 product(s)
4657,15654489,Fomin,843,France,Female,38,8,134887.53,1,1,1,10804.04,0,0,1,DIAMOND,923,DIAMOND,0,31-40,6-8 years,Very High,Low,3333.27,277.77,High,26666.16,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
4658,15736302,McKay,687,France,Male,48,4,0.0,2,1,1,170893.85,0,0,5,SILVER,510,SILVER,0,41-50,3-5 years,Low,Very High,1349.47,112.46,Medium,5397.88,Silver,0.0,0,Active,Has Credit Card,2 product(s)
4659,15805909,Bergamaschi,700,Spain,Male,28,8,159900.38,1,0,0,22698.56,0,0,1,GOLD,227,GOLD,0,18-30,6-8 years,Very High,Low,3545.0,295.42,High,28360.0,Platinum,0.0,1,Inactive,No Credit Card,1 product(s)
4660,15572762,Matveyeva,410,Germany,Female,50,2,102278.79,2,1,0,89822.48,0,0,5,PLATINUM,749,PLATINUM,0,41-50,0-2 years,High,Medium,3109.19,259.1,High,6218.38,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
4661,15724632,Madukaego,537,France,Female,41,0,0.0,2,0,1,175262.49,0,0,5,SILVER,866,SILVER,0,41-50,0-2 years,Low,Very High,1549.31,129.11,Medium,1549.31,Bronze,0.0,0,Active,No Credit Card,2 product(s)
4662,15670416,Ferri,780,France,Female,43,0,0.0,1,0,1,15705.27,0,0,1,DIAMOND,245,DIAMOND,0,41-50,0-2 years,Low,Low,321.03,26.75,Low,321.03,Bronze,0.0,0,Active,No Credit Card,1 product(s)
4663,15749528,Achebe,652,Spain,Male,58,6,0.0,2,0,1,170025.43,0,0,2,DIAMOND,596,DIAMOND,0,51-60,6-8 years,Low,Very High,1388.13,115.68,Medium,8328.78,Silver,0.0,0,Active,No Credit Card,2 product(s)
4664,15578783,Mai,620,Germany,Male,35,0,76989.97,1,1,1,17242.79,0,0,4,PLATINUM,739,PLATINUM,0,31-40,0-2 years,Medium,Low,2115.51,176.29,Medium,2115.51,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
4665,15580719,Davis,697,France,Female,23,10,0.0,2,1,1,79734.23,0,0,3,SILVER,968,SILVER,0,18-30,9-10 years,Low,Medium,1122.67,93.56,Low,11226.7,Gold,0.0,0,Active,Has Credit Card,2 product(s)
4666,15656293,Davey,786,France,Male,35,3,0.0,2,1,0,92712.97,0,0,3,PLATINUM,529,PLATINUM,0,31-40,3-5 years,Low,Medium,968.06,80.67,Low,2904.18,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
4667,15691875,Tsou,850,Germany,Female,39,5,114491.82,1,1,0,99689.48,0,0,2,PLATINUM,949,PLATINUM,0,31-40,3-5 years,High,Medium,3382.78,281.9,High,16913.9,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
4668,15596870,Marino,749,Germany,Male,54,3,144768.94,1,1,0,93336.3,1,1,1,SILVER,378,SILVER,1,51-60,3-5 years,Very High,Medium,3671.06,305.92,Very High,11013.18,Gold,3671.06,1,Inactive,Has Credit Card,1 product(s)
4669,15780770,Kerr,445,France,Male,31,7,145056.59,1,1,1,175893.53,0,0,4,PLATINUM,946,PLATINUM,0,31-40,6-8 years,Very High,Very High,4373.6,364.47,Very High,30615.2,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
4670,15751491,Hsiao,443,Germany,Male,50,3,117206.3,1,1,0,42840.18,1,1,1,PLATINUM,792,PLATINUM,1,41-50,3-5 years,High,Low,3074.33,256.19,High,9222.99,Silver,3074.33,1,Inactive,Has Credit Card,1 product(s)
4671,15706200,Graham,637,Germany,Male,41,2,138014.4,2,1,0,140298.24,0,0,1,GOLD,823,GOLD,0,41-50,0-2 years,Very High,High,4113.28,342.77,Very High,8226.56,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
4672,15808674,Ejikemeifeuwa,616,Germany,Female,45,6,128352.59,3,1,1,144000.59,1,1,5,DIAMOND,584,DIAMOND,1,41-50,6-8 years,Very High,High,3939.05,328.25,Very High,23634.3,Platinum,3939.05,1,Active,Has Credit Card,3+ products
4673,15641411,Volkova,756,France,Female,23,1,112568.31,1,1,1,113408.11,0,0,5,DIAMOND,965,DIAMOND,0,18-30,0-2 years,High,High,3420.91,285.08,High,3420.91,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
4674,15764661,Wang,644,France,Male,33,2,0.0,1,1,0,96420.58,0,0,1,DIAMOND,482,DIAMOND,0,31-40,0-2 years,Low,Medium,843.1,70.26,Low,1686.2,Bronze,0.0,1,Inactive,Has Credit Card,1 product(s)
4675,15689492,Benjamin,850,Germany,Male,41,1,176958.46,2,0,1,125806.3,0,0,2,GOLD,751,GOLD,0,41-50,0-2 years,Very High,High,4783.7,398.64,Very High,4783.7,Silver,0.0,0,Active,No Credit Card,2 product(s)
4676,15602405,Ryrie,703,Germany,Female,38,9,99167.54,1,1,0,65720.92,0,0,4,GOLD,786,GOLD,0,31-40,9-10 years,High,Medium,2824.96,235.41,Medium,25424.64,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
4677,15610271,Andreev,684,Spain,Female,42,3,103210.27,1,1,0,31002.03,0,0,4,PLATINUM,521,PLATINUM,0,41-50,3-5 years,High,Low,2599.72,216.64,Medium,7799.16,Silver,0.0,0,Inactive,Has Credit Card,1 product(s)
4678,15791780,Ts'ao,706,Germany,Female,48,10,104478.12,3,0,1,158248.71,1,1,1,GOLD,574,GOLD,1,41-50,9-10 years,High,Very High,3527.81,293.98,High,35278.1,Platinum,3527.81,1,Active,No Credit Card,3+ products
4679,15589147,Frolov,580,Spain,Male,61,8,125921.37,1,1,1,94677.83,0,0,5,DIAMOND,700,DIAMOND,0,61+,6-8 years,High,Medium,3461.82,288.48,High,27694.56,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
4680,15756975,Montemayor,777,Spain,Female,35,3,0.0,2,1,1,17257.72,0,0,2,GOLD,616,GOLD,0,31-40,3-5 years,Low,Low,634.29,52.86,Low,1902.87,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
4681,15729582,Fu,676,Germany,Male,48,3,80697.44,1,0,0,101397.86,0,0,3,SILVER,856,SILVER,0,41-50,3-5 years,Medium,High,2668.94,222.41,Medium,8006.82,Silver,0.0,0,Inactive,No Credit Card,1 product(s)
4682,15742971,Whitehead,708,France,Female,44,2,161887.81,2,1,0,84870.23,0,0,3,DIAMOND,602,DIAMOND,0,41-50,0-2 years,Very High,Medium,4203.11,350.26,Very High,8406.22,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
4683,15568046,Izuchukwu,809,France,Male,24,7,109558.36,1,1,0,183515.13,0,0,5,GOLD,483,GOLD,0,18-30,6-8 years,High,Very High,3470.24,289.19,High,24291.68,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
4684,15694890,Lai,588,France,Male,38,1,124271.26,1,1,0,75969.19,0,0,3,DIAMOND,922,DIAMOND,0,31-40,0-2 years,High,Medium,3446.27,287.19,High,3446.27,Bronze,0.0,0,Inactive,Has Credit Card,1 product(s)
4685,15736963,Herring,623,France,Male,43,1,0.0,2,1,1,146379.3,0,0,2,SILVER,508,SILVER,0,41-50,0-2 years,Low,High,1225.9,102.16,Medium,1225.9,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
4686,15646490,Duffy,537,Spain,Male,42,1,190569.23,1,0,1,127154.8,0,0,2,DIAMOND,341,DIAMOND,0,41-50,0-2 years,Very High,High,4737.66,394.8,Very High,4737.66,Silver,0.0,0,Active,No Credit Card,1 product(s)
4687,15607314,Chiefo,536,Spain,Male,53,2,143923.96,1,1,0,2019.78,1,1,1,DIAMOND,572,DIAMOND,1,51-60,0-2 years,Very High,Low,3294.58,274.55,High,6589.16,Silver,3294.58,1,Inactive,Has Credit Card,1 product(s)
4688,15576745,Fyodorov,769,France,Male,48,2,96542.16,2,0,1,197885.72,0,0,3,DIAMOND,827,DIAMOND,0,41-50,0-2 years,Medium,Very High,3573.77,297.81,Very High,7147.54,Silver,0.0,0,Active,No Credit Card,2 product(s)
